ALPHA_H;BETA;D_AGAP;R_ST_OUT;BRMS/A
1.4;0.1;1.5;7.5;0.15543041058588647
1.6;0.1;1.5;7.5;0.15741769524943935
1.8;0.1;1.5;7.5;0.16115677979090232
2.0;0.1;1.5;7.5;0.16069885566992595
1.4;0.2;1.5;7.5;0.24281746996624282
1.6;0.2;1.5;7.5;0.2474182148698778
1.8;0.2;1.5;7.5;0.2528719213440528
2.0;0.2;1.5;7.5;0.2549507716356124
1.4;0.3;1.5;7.5;0.2903758346165134
1.6;0.3;1.5;7.5;0.29902520738177757
1.8;0.3;1.5;7.5;0.3039195708718784
2.0;0.3;1.5;7.5;0.30869703285989997
1.4;0.1;1.75;7.5;0.12502696398385682
1.6;0.1;1.75;7.5;0.12697083021758385
1.8;0.1;1.75;7.5;0.1267803172215208
2.0;0.1;1.75;7.5;0.12812061708861683
1.4;0.2;1.75;7.5;0.19900585785940178
1.6;0.2;1.75;7.5;0.20335696625952185
1.8;0.2;1.75;7.5;0.20622632352512635
2.0;0.2;1.75;7.5;0.20754150097022836
1.4;0.3;1.75;7.5;0.24275575918904005
1.6;0.3;1.75;7.5;0.24808849018148998
1.8;0.3;1.75;7.5;0.2515383913319654
2.0;0.3;1.75;7.5;0.25476127759238626
1.4;0.1;2.0;7.5;0.10644350270812601
1.6;0.1;2.0;7.5;0.10700817001437433
1.8;0.1;2.0;7.5;0.10770133106197353
2.0;0.1;2.0;7.5;0.10713134466201424
1.4;0.2;2.0;7.5;0.17226135877792573
1.6;0.2;2.0;7.5;0.17471311806179105
1.8;0.2;2.0;7.5;0.17648702970572902
2.0;0.2;2.0;7.5;0.17877317221133343
1.4;0.3;2.0;7.5;0.21253524899155593
1.6;0.3;2.0;7.5;0.21662851721175616
1.8;0.3;2.0;7.5;0.21971105495203572
2.0;0.3;2.0;7.5;0.22216112529104284
