ALPHA_H;BETA;D_AGAP;R_ST_OUT;DX;F_ROT_X;F_ROT_Y;F_ROT_Z;F_ST_X;F_ST_Y;F_ST_Z
1.4;0.1;1.5;7.5;0.5;0.2798171326440774;-0.001831105458766954;0.008075004078166841;-0.2800926397729658;0.003047548478486529;2.862167354399852E-4
1.6;0.1;1.5;7.5;0.5;0.2688820037808878;-0.002052736429941682;-0.003791184995770066;-0.2738376747817369;4.625162114818802E-4;-0.001013761853499245
1.8;0.1;1.5;7.5;0.5;0.2682966996124094;-0.0162078521072124;0.00719882933811478;-0.2567794914360771;-0.001054220911205012;1.488734402748174E-4
2.0;0.1;1.5;7.5;0.5;0.2369191645629863;-0.003758188169531686;0.003608213451172837;-0.2377011296732445;0.004750565741605083;-0.002538917018129048
1.4;0.2;1.5;7.5;0.5;0.8228429919044753;0.01297415525554006;-0.05575680822265862;-0.8293184999674609;-0.003917065959895153;-0.00126265751455633
1.6;0.2;1.5;7.5;0.5;0.7601571439402033;0.005918057026086917;0.01891209741617295;-0.7747213544218156;-0.002070509529017555;2.001826356902679E-4
1.8;0.2;1.5;7.5;0.5;0.7033572637888575;0.005412615061281685;0.003088244870083354;-0.7187916228888579;0.002652168158663934;-0.002250814668505441
2.0;0.2;1.5;7.5;0.5;0.6794210080821774;0.006475252359221575;-0.001373652584902156;-0.671289315943188;0.001677331469082641;0.006358713327851404
1.4;0.3;1.5;7.5;0.5;1.357809703126188;-0.004782044831413385;0.02239809138806664;-1.345029242442003;0.007229806863145886;-0.003803011029883199
1.6;0.3;1.5;7.5;0.5;1.249649151896291;-0.01292885619910711;-0.04406942476049152;-1.255385540354822;-0.003307113582929371;-0.002364631990614415
1.8;0.3;1.5;7.5;0.5;1.153029089690527;5.108071782940005E-4;0.04807515274737248;-1.152890053950306;-0.003314751616503588;-0.002810892901049742
2.0;0.3;1.5;7.5;0.5;1.059234308098759;0.001933252322867547;-0.001183620160946397;-1.063137689365177;-0.001358792438318991;-0.001494558164519111
1.4;0.1;1.75;7.5;0.5;0.1759095812628803;0.001892159899949795;-0.01712884175020471;-0.1848554657536905;2.65861475775444E-4;-0.002280803371096288
1.6;0.1;1.75;7.5;0.5;0.1707302565123605;-0.01792789653884335;0.003375440494396817;-0.1786714227922885;-0.001748111722732128;0.001404856494482655
1.8;0.1;1.75;7.5;0.5;0.1625403462010757;-0.009639068133193802;-0.02090823725457808;-0.1735257859248531;-1.998313247185354E-4;0.003614562246405989
2.0;0.1;1.75;7.5;0.5;0.1406044256090661;0.004308635751077902;0.004227605425005939;-0.1652520962254569;-5.293074200441929E-4;-5.587257769472724E-4
1.4;0.2;1.75;7.5;0.5;0.5731769245956655;-0.02014617802243262;-0.006117308091129328;-0.5754144934854551;0.005906185586880396;0.002312416028425465
1.6;0.2;1.75;7.5;0.5;0.5610116439557775;-0.01119864231154233;-0.03138707939600299;-0.5604247121716408;0.001376538775599798;0.001812414136424206
1.8;0.2;1.75;7.5;0.5;0.5200690567057291;8.807117398400887E-4;-0.04279500492242609;-0.5380002577122698;0.001495466828336108;-0.002586221791184513
2.0;0.2;1.75;7.5;0.5;0.4870282488200051;-0.008852900491627505;-0.001639359806850525;-0.5132819514552038;0.001056063635235488;-0.004398605456562025
1.4;0.3;1.75;7.5;0.5;0.9993226895725409;-0.003035049822177054;-0.03498897031253182;-0.979389497834802;0.007210211035356444;-0.005009790063593568
1.6;0.3;1.75;7.5;0.5;0.9377351362197521;-0.00406643800903702;0.040903251858721;-0.934967467656039;-9.071345592877533E-4;0.002077299226021481
1.8;0.3;1.75;7.5;0.5;0.8857308625461334;-0.009588296728826832;-0.0170014335136402;-0.8901349839903734;0.00673923612361518;-0.007021034340515094
2.0;0.3;1.75;7.5;0.5;0.8283296855210974;0.002139200305574374;0.00991278581253223;-0.8334004601709647;0.002006131591516213;0.002742900129864671
1.4;0.1;2.0;7.5;0.5;0.1019947153836112;0.01380662739376594;0.03323917878044422;-0.1202949677931941;4.441443565617769E-4;-1.781201286983931E-4
1.6;0.1;2.0;7.5;0.5;0.1273836099110676;-0.005189815636906781;-0.01640419352725165;-0.1199984472566592;-9.194657197003199E-4;0.001017817109116428
1.8;0.1;2.0;7.5;0.5;0.1035435553904449;-4.002316262798677E-4;-0.01819464447073805;-0.1169126805960284;0.001561188327399413;-6.142426247371568E-4
2.0;0.1;2.0;7.5;0.5;0.08864836382234156;0.01424631361732467;0.002179785085364955;-0.1071918419423398;3.180231988754228E-5;-0.00179956660665151
1.4;0.2;2.0;7.5;0.5;0.3856820761947954;7.598300324856786E-4;0.04972678948579624;-0.4004880464674148;0.002143723988463108;8.915015324933186E-4
1.6;0.2;2.0;7.5;0.5;0.3691275978778414;0.009062390400147086;-0.01164418198951606;-0.3884091981502887;-3.54858926572897E-4;-0.001985386754050035
1.8;0.2;2.0;7.5;0.5;0.3687095530964621;0.01423664054765049;0.004116871740860571;-0.3798663536707932;-9.83926853132859E-4;9.052723600544215E-4
2.0;0.2;2.0;7.5;0.5;0.3593528768742699;-0.01411048863827309;-0.01407880748406651;-0.3666166022340147;7.555470629930076E-4;-0.004154726194102695
1.4;0.3;2.0;7.5;0.5;0.685135957342467;0.01001375988082653;0.008271632567785141;-0.697405285301345;0.001206830562072861;0.001220037850047309
1.6;0.3;2.0;7.5;0.5;0.667528985356049;0.01429387180869086;-0.03633100283519523;-0.673233939776998;0.004137113727160302;0.001347102981997175
1.8;0.3;2.0;7.5;0.5;0.648941064837819;-0.01344516543418672;0.05084273533686809;-0.6445005793991286;-4.686043727897974E-4;0.002433349802443716
2.0;0.3;2.0;7.5;0.5;0.5895118765413436;-1.046744001068183E-4;-0.02575579612448386;-0.623278367338563;7.995077718241654E-4;-9.177914840158229E-4
