 ALPHA_H ; BETA ; D_AGAP ; R_ROT_OUT ; JT_RMS ; V_FE_ST ; V_FE_ROT ; V_PM ; V_COIL ; IT_HAT ; P_CU_TOT ; A_CU ; TZ_ROT ; TZ_ST ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.2174948760177550E+02 ;    0.8212522866555034E+02 ;    0.3600748502960609E+02 ;    0.7145469529694715E+02 ;    0.7074436678452167E+01 ;    0.1728631988623746E-01 ;    0.8337303580680603E+00 ;    0.3117008507869654E-04 ;   -0.1168561963797082E-04 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.1903080165155356E+02 ;    0.8212522866555034E+02 ;    0.3600748502960609E+02 ;    0.6810488582256653E+02 ;    0.7074436678452167E+01 ;    0.1647593397819531E-01 ;    0.8337303580680603E+00 ;    0.2743907035201853E-05 ;   -0.1406222908153991E-04 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.1691626813471428E+02 ;    0.8212522866555034E+02 ;    0.3600748502960609E+02 ;    0.6549947845360386E+02 ;    0.7074436678452167E+01 ;    0.1584563382749585E-01 ;    0.8337303580680603E+00 ;   -0.2320603317441257E-04 ;   -0.1521968608141866E-04 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.1522464132124284E+02 ;    0.8212522866555034E+02 ;    0.3600748502960609E+02 ;    0.6341515255843370E+02 ;    0.7074436678452167E+01 ;    0.1534139370693629E-01 ;    0.8337303580680603E+00 ;    0.1443699562680040E-04 ;   -0.1388073234928607E-04 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.4349897520355099E+02 ;    0.1642504573311007E+03 ;    0.7201497005921217E+02 ;    0.9825317109199194E+02 ;    0.7074436678452167E+01 ;    0.2376940715057471E-01 ;    0.8337303580680603E+00 ;    0.8181992454313904E-04 ;   -0.3364809921988813E-04 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.3806160330310712E+02 ;    0.1642504573311007E+03 ;    0.7201497005921217E+02 ;    0.9155355214323075E+02 ;    0.7074436678452167E+01 ;    0.2214863533449039E-01 ;    0.8337303580680603E+00 ;    0.1236608243542545E-03 ;   -0.3181378816866234E-04 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.3383253626942855E+02 ;    0.1642504573311007E+03 ;    0.7201497005921217E+02 ;    0.8634273740530536E+02 ;    0.7074436678452167E+01 ;    0.2088803503309149E-01 ;    0.8337303580680603E+00 ;    0.1228450242359512E-03 ;   -0.2943744167308006E-04 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.3044928264248569E+02 ;    0.1642504573311007E+03 ;    0.7201497005921217E+02 ;    0.8217408561496505E+02 ;    0.7074436678452167E+01 ;    0.1987955479197236E-01 ;    0.8337303580680603E+00 ;    0.9630558339655504E-04 ;   -0.2984551024787344E-04 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.6524846280532648E+02 ;    0.2463756859966510E+03 ;    0.1080224550888183E+03 ;    0.1250516468870367E+03 ;    0.7074436678452167E+01 ;    0.3025249441491194E-01 ;    0.8337303580680603E+00 ;    0.1600829019125648E-03 ;   -0.5019846189594849E-04 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.5709240495466067E+02 ;    0.2463756859966510E+03 ;    0.1080224550888183E+03 ;    0.1150022184638949E+03 ;    0.7074436678452167E+01 ;    0.2782133669078548E-01 ;    0.8337303580680603E+00 ;    0.1180736952955119E-03 ;   -0.4967963464548354E-04 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.5074880440414282E+02 ;    0.2463756859966510E+03 ;    0.1080224550888183E+03 ;    0.1071859963570069E+03 ;    0.7074436678452167E+01 ;    0.2593043623868712E-01 ;    0.8337303580680603E+00 ;    0.1452351434473900E-03 ;   -0.4314113296438915E-04 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.4567392396372853E+02 ;    0.2463756859966510E+03 ;    0.1080224550888183E+03 ;    0.1009330186714964E+03 ;    0.7074436678452167E+01 ;    0.2441771587700842E-01 ;    0.8337303580680603E+00 ;    0.1769500718141521E-03 ;   -0.4956860110132151E-04 ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.2006649153735239E+02 ;    0.8212522866555034E+02 ;    0.3600748502960609E+02 ;    0.1180870171029994E+03 ;    0.1027843879731637E+02 ;    0.2856761117755764E-01 ;    0.1211325628932218E+01 ;    0.3637938134662820E-04 ;   -0.1301972394452469E-04 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.1755818009518334E+02 ;    0.8212522866555034E+02 ;    0.3600748502960609E+02 ;    0.1132200837724682E+03 ;    0.1027843879731637E+02 ;    0.2739020266623552E-01 ;    0.1211325628932218E+01 ;    0.5126386756612120E-05 ;   -0.9333045340540196E-05 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.1560727119571853E+02 ;    0.8212522866555034E+02 ;    0.3600748502960609E+02 ;    0.1094346911820550E+03 ;    0.1027843879731637E+02 ;    0.2647444049076276E-01 ;    0.1211325628932218E+01 ;    0.2768985441097511E-04 ;   -0.1320966513399669E-04 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.1404654407614667E+02 ;    0.8212522866555034E+02 ;    0.3600748502960609E+02 ;    0.1064063771097245E+03 ;    0.1027843879731637E+02 ;    0.2574183075038455E-01 ;    0.1211325628932218E+01 ;    0.8219001394637120E-04 ;   -0.9643950047164669E-05 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.4013298307470478E+02 ;    0.1642504573311007E+03 ;    0.7201497005921217E+02 ;    0.1570224837472493E+03 ;    0.1027843879731637E+02 ;    0.3798687926813457E-01 ;    0.1211325628932218E+01 ;    0.1269369320857356E-03 ;   -0.3107218497692507E-04 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.3511636019036668E+02 ;    0.1642504573311007E+03 ;    0.7201497005921217E+02 ;    0.1472886170861869E+03 ;    0.1027843879731637E+02 ;    0.3563206224549034E-01 ;    0.1211325628932218E+01 ;    0.1119363329619500E-03 ;   -0.2344429153361207E-04 ;
