ALPHA_H;BETA;D_AGAP;R_ST_OUT;JF_RMS;IF_HAT;A_CU;P_CU_TOT;F_ROT_X;F_ROT_Y;F_ROT_Z;F_ST_X;F_ST_Y;F_ST_Z
1.4;0.1;1.5;7.5;6;7.074436678452167;0.8337303580680603;0.01728631988623746;-0.02325395953703577;-0.002988853656079787;0.03865581963041315;0.008112793068760494;0.01615330330372826;7.06482758145385E-4
1.6;0.1;1.5;7.5;6;7.074436678452167;0.8337303580680603;0.016475933978195308;-0.002296324172245016;-0.02563597381959857;6.660916213687875E-4;0.01015843597797315;0.01639889265300319;0.004450406545972431
1.8;0.1;1.5;7.5;6;7.074436678452167;0.8337303580680603;0.01584563382749585;-0.01640341946761462;-0.02542169962568162;0.03282999207342919;0.01015251019599467;0.01554215254441785;0.001816697459289673
2.0;0.1;1.5;7.5;6;7.074436678452167;0.8337303580680603;0.015341393706936289;-0.01106062356297523;-0.01039617252720381;-0.003811130138825945;0.00953578221326484;0.01572086829940748;4.444695858515556E-4
1.4;0.2;1.5;7.5;6;7.074436678452167;0.8337303580680603;0.023769407150574705;-0.03105262086511593;-0.01263191893674999;-7.109906567440809E-4;0.01570455018627777;0.03416705530357107;2.935229963738849E-4
1.6;0.2;1.5;7.5;6;7.074436678452167;0.8337303580680603;0.022148635334490394;-0.02397076672599056;-0.02383663192743295;-0.02605748505189723;0.01721726392234308;0.03077273313160214;0.003945434467982148
1.8;0.2;1.5;7.5;6;7.074436678452167;0.8337303580680603;0.020888035033091484;0.014541884797219;-0.02284512922144977;-0.01199553235213592;0.01597603897077293;0.02531678689458572;9.092933532760103E-4
2.0;0.2;1.5;7.5;6;7.074436678452167;0.8337303580680603;0.01987955479197236;-0.0391162281323051;-0.04041484950823343;-0.001192195872461509;0.01271587614264137;0.02952455136851824;0.006134725236092826
1.4;0.3;1.5;7.5;6;7.074436678452167;0.8337303580680603;0.030252494414911943;-0.02182718235452064;-0.06795250691902587;-0.006952436392910653;0.0261007764790161;0.04603240702812816;-0.002596802720383219
1.6;0.3;1.5;7.5;6;7.074436678452167;0.8337303580680603;0.027821336690785473;-0.02504997328828467;-0.06916554927313476;0.01168431607565928;0.02402320066083958;0.0514587784809818;0.00179532999197196
