 ALPHA_H ; BETA ; D_AGAP ; L_BAR_PH ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.5252115008113579E+01 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.4984257865256435E+01 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.4775924531923102E+01 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.4609257865256435E+01 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7394972150970721E+01 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.6859257865256436E+01 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.6442591198589769E+01 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.6109257865256435E+01 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.9537829293827865E+01 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.8734257865256437E+01 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.8109257865256437E+01 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7609257865256436E+01 ;
    0.1400000000000000E+01 ;    0.4000000000000000E+00 ;    0.1500000000000000E+01 ;    0.1168068643668501E+02 ;
    0.1600000000000000E+01 ;    0.4000000000000000E+00 ;    0.1500000000000000E+01 ;    0.1060925786525644E+02 ;
    0.1800000000000000E+01 ;    0.4000000000000000E+00 ;    0.1500000000000000E+01 ;    0.9775924531923103E+01 ;
    0.2000000000000000E+01 ;    0.4000000000000000E+00 ;    0.1500000000000000E+01 ;    0.9109257865256435E+01 ;
    0.1400000000000000E+01 ;    0.5000000000000000E+00 ;    0.1500000000000000E+01 ;    0.1382354357954215E+02 ;
    0.1600000000000000E+01 ;    0.5000000000000000E+00 ;    0.1500000000000000E+01 ;    0.1248425786525644E+02 ;
    0.1800000000000000E+01 ;    0.5000000000000000E+00 ;    0.1500000000000000E+01 ;    0.1144259119858977E+02 ;
    0.2000000000000000E+01 ;    0.5000000000000000E+00 ;    0.1500000000000000E+01 ;    0.1060925786525644E+02 ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.6822911334908475E+01 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.6555054192051331E+01 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.6346720858717998E+01 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.6180054192051331E+01 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.2000000000000000E+01 ;    0.8965768477765618E+01 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.2000000000000000E+01 ;    0.8430054192051333E+01 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.2000000000000000E+01 ;    0.8013387525384665E+01 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7680054192051331E+01 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.2000000000000000E+01 ;    0.1110862562062276E+02 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.2000000000000000E+01 ;    0.1030505419205133E+02 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.2000000000000000E+01 ;    0.9680054192051333E+01 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.2000000000000000E+01 ;    0.9180054192051333E+01 ;
    0.1400000000000000E+01 ;    0.4000000000000000E+00 ;    0.2000000000000000E+01 ;    0.1325148276347990E+02 ;
    0.1600000000000000E+01 ;    0.4000000000000000E+00 ;    0.2000000000000000E+01 ;    0.1218005419205133E+02 ;
    0.1800000000000000E+01 ;    0.4000000000000000E+00 ;    0.2000000000000000E+01 ;    0.1134672085871800E+02 ;
    0.2000000000000000E+01 ;    0.4000000000000000E+00 ;    0.2000000000000000E+01 ;    0.1068005419205133E+02 ;
    0.1400000000000000E+01 ;    0.5000000000000000E+00 ;    0.2000000000000000E+01 ;    0.1539433990633705E+02 ;
    0.1600000000000000E+01 ;    0.5000000000000000E+00 ;    0.2000000000000000E+01 ;    0.1405505419205133E+02 ;
    0.1800000000000000E+01 ;    0.5000000000000000E+00 ;    0.2000000000000000E+01 ;    0.1301338752538467E+02 ;
    0.2000000000000000E+01 ;    0.5000000000000000E+00 ;    0.2000000000000000E+01 ;    0.1218005419205133E+02 ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.2500000000000000E+01 ;    0.8393707661703370E+01 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.2500000000000000E+01 ;    0.8125850518846228E+01 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7917517185512895E+01 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7750850518846228E+01 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.2500000000000000E+01 ;    0.1053656480456051E+02 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.2500000000000000E+01 ;    0.1000085051884623E+02 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.2500000000000000E+01 ;    0.9584183852179562E+01 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.2500000000000000E+01 ;    0.9250850518846228E+01 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.2500000000000000E+01 ;    0.1267942194741766E+02 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.2500000000000000E+01 ;    0.1187585051884623E+02 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.2500000000000000E+01 ;    0.1125085051884623E+02 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.2500000000000000E+01 ;    0.1075085051884623E+02 ;
    0.1400000000000000E+01 ;    0.4000000000000000E+00 ;    0.2500000000000000E+01 ;    0.1482227909027480E+02 ;
    0.1600000000000000E+01 ;    0.4000000000000000E+00 ;    0.2500000000000000E+01 ;    0.1375085051884623E+02 ;
    0.1800000000000000E+01 ;    0.4000000000000000E+00 ;    0.2500000000000000E+01 ;    0.1291751718551290E+02 ;
    0.2000000000000000E+01 ;    0.4000000000000000E+00 ;    0.2500000000000000E+01 ;    0.1225085051884623E+02 ;
    0.1400000000000000E+01 ;    0.5000000000000000E+00 ;    0.2500000000000000E+01 ;    0.1696513623313194E+02 ;
    0.1600000000000000E+01 ;    0.5000000000000000E+00 ;    0.2500000000000000E+01 ;    0.1562585051884623E+02 ;
    0.1800000000000000E+01 ;    0.5000000000000000E+00 ;    0.2500000000000000E+01 ;    0.1458418385217956E+02 ;
    0.2000000000000000E+01 ;    0.5000000000000000E+00 ;    0.2500000000000000E+01 ;    0.1375085051884623E+02 ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.3000000000000000E+01 ;    0.9964503988498269E+01 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.3000000000000000E+01 ;    0.9696646845641125E+01 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.3000000000000000E+01 ;    0.9488313512307791E+01 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.3000000000000000E+01 ;    0.9321646845641125E+01 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.3000000000000000E+01 ;    0.1210736113135541E+02 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.3000000000000000E+01 ;    0.1157164684564113E+02 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.3000000000000000E+01 ;    0.1115498017897446E+02 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.3000000000000000E+01 ;    0.1082164684564113E+02 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.3000000000000000E+01 ;    0.1425021827421255E+02 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.3000000000000000E+01 ;    0.1344664684564113E+02 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.3000000000000000E+01 ;    0.1282164684564113E+02 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.3000000000000000E+01 ;    0.1232164684564113E+02 ;
    0.1400000000000000E+01 ;    0.4000000000000000E+00 ;    0.3000000000000000E+01 ;    0.1639307541706970E+02 ;
    0.1600000000000000E+01 ;    0.4000000000000000E+00 ;    0.3000000000000000E+01 ;    0.1532164684564113E+02 ;
    0.1800000000000000E+01 ;    0.4000000000000000E+00 ;    0.3000000000000000E+01 ;    0.1448831351230779E+02 ;
    0.2000000000000000E+01 ;    0.4000000000000000E+00 ;    0.3000000000000000E+01 ;    0.1382164684564113E+02 ;
    0.1400000000000000E+01 ;    0.5000000000000000E+00 ;    0.3000000000000000E+01 ;    0.1853593255992684E+02 ;
    0.1600000000000000E+01 ;    0.5000000000000000E+00 ;    0.3000000000000000E+01 ;    0.1719664684564113E+02 ;
    0.1800000000000000E+01 ;    0.5000000000000000E+00 ;    0.3000000000000000E+01 ;    0.1615498017897446E+02 ;
    0.2000000000000000E+01 ;    0.5000000000000000E+00 ;    0.3000000000000000E+01 ;    0.1532164684564113E+02 ;
