 ALPHA_H ; BETA ; D_AGAP ; R_ROT_OUT ; TX_ROT ; TX_ST ; TY_ROT ; TY_ST ; TZ_ROT ; TZ_ST ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1777376460142570E-03 ;    0.2145325008285822E-03 ;   -0.2849367106470633E-03 ;   -0.1959733173439440E-04 ;   -0.2882906888204601E-05 ;   -0.2387981498130004E-05 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.4430036772354572E-03 ;    0.2222770332468919E-03 ;   -0.2959808972812621E-03 ;   -0.2900927181464639E-04 ;   -0.1928574853662051E-04 ;    0.6012363271942221E-06 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1720500290980889E-03 ;    0.2597748478514068E-03 ;    0.1725179190450473E-03 ;    0.1238044339759709E-04 ;    0.3687730618109419E-04 ;    0.7887084665601198E-06 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.3733877010205519E-04 ;    0.2321466125009080E-03 ;    0.2001817505214243E-03 ;   -0.3866326436347047E-05 ;    0.2909359287408590E-04 ;    0.9140817953295692E-06 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2501081920667598E-03 ;    0.2578296270615156E-03 ;   -0.3698924019120698E-04 ;   -0.1508175522817103E-04 ;   -0.1383564934896671E-06 ;    0.6090199195951350E-05 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2383830584228578E-03 ;    0.3589510949692993E-03 ;   -0.3056531754378786E-04 ;   -0.6229865716029424E-05 ;   -0.1183847366518741E-05 ;    0.9490120523039546E-06 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2952203604198482E-03 ;    0.4291244926225641E-03 ;   -0.1264625571157525E-03 ;    0.2253510895751126E-05 ;   -0.1864930969647813E-05 ;    0.6362320162828467E-05 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.4157993665647283E-03 ;    0.4492504445844495E-03 ;    0.7599555165220544E-05 ;    0.1853551195914664E-05 ;    0.9431840138409467E-05 ;   -0.3008214413044676E-06 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.9917003509008934E-04 ;   -0.1552664713259829E-04 ;   -0.3222934049537895E-04 ;    0.7828678377828053E-05 ;    0.1547986000445551E-05 ;   -0.3183901063375335E-05 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2140163921212439E-03 ;    0.2224732228582204E-03 ;   -0.1844795869445528E-04 ;   -0.3359363096339072E-05 ;   -0.2323727698993953E-04 ;    0.9948064729641935E-05 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.4535402869596136E-03 ;    0.3872152170630264E-03 ;   -0.8067270328918243E-05 ;   -0.7549812018502951E-05 ;    0.6211691413138493E-07 ;    0.2132041309147830E-05 ;
