 ALPHA_H ; BETA ; D_AGAP ; R_ROT_OUT ; TX_ROT ; TX_ST ; TY_ROT ; TY_ST ; TZ_ROT ; TZ_ST ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1014288910247257E-04 ;    0.2127422496358704E-03 ;   -0.3369135284594672E-04 ;   -0.1308097233913036E-05 ;    0.3365275288705493E-05 ;   -0.5303624749639549E-06 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1050974321441234E-04 ;    0.2195488189276963E-03 ;    0.1854045776762658E-03 ;    0.6544697100537199E-05 ;    0.3387310910039747E-04 ;   -0.5455192881277961E-06 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1229321812004437E-03 ;    0.2396589822332068E-03 ;   -0.1857908903117939E-03 ;   -0.2531640258970118E-04 ;   -0.1664705348194649E-04 ;   -0.2694628231227849E-06 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.3346043757794766E-04 ;    0.2290250360682006E-03 ;    0.1939455640173540E-03 ;   -0.1913531363245101E-04 ;    0.8896157824635916E-05 ;    0.1697364481173165E-05 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2939883738862860E-03 ;    0.2503323890459075E-03 ;   -0.3424614925320319E-04 ;   -0.8235134828764181E-06 ;    0.3245794523321163E-05 ;    0.4597981795418737E-05 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2965090865454843E-03 ;    0.3640712672238873E-03 ;   -0.2044983442301465E-03 ;    0.2937379814999812E-05 ;   -0.3946093125225250E-04 ;    0.3632561805384830E-05 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.5270280164161671E-03 ;    0.4235432324426081E-03 ;   -0.3524939348793051E-05 ;    0.5501121699808109E-05 ;    0.5257658433162452E-05 ;    0.1517139941496996E-05 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.5132151650971586E-03 ;    0.4580749432305197E-03 ;   -0.8386679212762326E-04 ;    0.1088499030263007E-04 ;    0.1962663880515567E-04 ;    0.3027344636165004E-05 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2937617174723206E-05 ;   -0.3059504683266610E-04 ;   -0.3552881194856849E-06 ;   -0.5324570065330029E-05 ;    0.1021363873878911E-04 ;   -0.2229168487027764E-05 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.3004780243480548E-03 ;    0.2056070736267434E-03 ;    0.5421588112674758E-04 ;    0.8833303526389839E-05 ;    0.1857945027617681E-04 ;   -0.1933151567889057E-05 ;
