ALPHA_H;BETA;D_AGAP;R_ST_OUT;DX;DTHETA;F_ROT_X;F_ROT_Y;F_ROT_Z;F_ST_X;F_ST_Y;F_ST_Z
1.4;0.1;1.5;7.5;0.5;45;0.2833237236703992;-0.02084157093563949;0.007089881471979777;-0.2815242289615306;0.001243211692152874;0.006494465056156296
1.6;0.1;1.5;7.5;0.5;45;0.2486261222167204;-0.001461193319322989;0.01314722707341516;-0.2610589797983361;-0.006965780991735527;0.002601568083307194
1.8;0.1;1.5;7.5;0.5;45;0.2432526938029769;-0.01497395648596879;0.05094937955280539;-0.2289264769621465;-0.004701893599468669;-1.437400182165318E-4
2.0;0.1;1.5;7.5;0.5;45;0.1900592333835083;-0.01083530255740131;0.04966289774497466;-0.2022731998065092;-0.001933026010813034;-0.003834519523906594
1.4;0.2;1.5;7.5;0.5;45;0.7970386433732294;0.004215980969312104;-0.02346559041317625;-0.7843944368308345;-0.001200195721422698;0.001141986863204254
1.6;0.2;1.5;7.5;0.5;45;0.6999532418229787;0.01079781349365666;-0.01930293624160829;-0.6934467688270481;-8.38354717459625E-4;-7.975979374065393E-4
1.8;0.2;1.5;7.5;0.5;45;0.6165388135774286;0.001149354483707515;0.007053706092809275;-0.6123466951352844;0.001115692345915403;-0.002982965387027454
2.0;0.2;1.5;7.5;0.5;45;0.5481355281631385;0.008613542910699708;0.01354165667003972;-0.5369722115860378;-0.00285805551127884;-0.006789929937920912
1.4;0.3;1.5;7.5;0.5;45;1.235501541435973;-0.005915921981295542;-0.008852761725004696;-1.235956587648069;0.001173595603422943;3.683575827971974E-4
1.6;0.3;1.5;7.5;0.5;45;1.068268950940079;-0.002428544924751546;-0.02096031782189274;-1.06990451229961;0.001377959331687894;-8.996156030970032E-4
1.8;0.3;1.5;7.5;0.5;45;0.9147619028437777;0.005772283232540785;0.009016465476736709;-0.9248124353032047;0.002541510307727375;-0.002858997933601786
2.0;0.3;1.5;7.5;0.5;45;0.7962052971459509;0.001407727908057439;-0.007683474026104168;-0.8015535668515275;-4.447095216924452E-4;8.118424296755951E-4
1.4;0.4;1.5;7.5;0.5;45;1.652420810848081;4.864180264349625E-4;-0.01124600097326977;-1.657628514459138;1.462552826293102E-4;0.004706762423751254
1.6;0.4;1.5;7.5;0.5;45;1.410315861098317;0.01192187986973624;0.003325126560007528;-1.418471603267012;0.001102431986636539;-0.002618426881468831
1.8;0.4;1.5;7.5;0.5;45;1.199351581148058;-0.01416175329840839;-0.02781924324542678;-1.218501323113922;-0.001553042442319603;-0.009060649740451374
2.0;0.4;1.5;7.5;0.5;45;1.029756333879531;0.002270751240156126;-0.01039365424380321;-1.033390025352815;-5.589291089824755E-5;8.664601385448053E-4
1.4;0.5;1.5;7.5;0.5;45;2.052982891755503;0.006520849209621985;-0.01330507143179252;-2.056263695665972;-7.656874471164525E-4;1.473818357787759E-4
1.6;0.5;1.5;7.5;0.5;45;1.7421927262069;-0.003877454966436329;-0.01945156343630662;-1.74648977995417;0.005262937786275443;0.005475884159925955
1.8;0.5;1.5;7.5;0.5;45;1.484475770788387;-0.02844454789078128;0.02483815132672192;-1.485204994391803;0.001006119555692648;0.002478888361864089
2.0;0.5;1.5;7.5;0.5;45;1.268888518115243;0.004814206092030415;0.0115429463258245;-1.279239069642644;6.424833108586165E-6;-0.003235139436823062
1.4;0.1;2.0;7.5;0.5;45;0.1319578812731054;-0.01991110258039439;-0.04751473684713013;-0.1310254584963589;-0.002684798338198946;0.002244470358922108
1.6;0.1;2.0;7.5;0.5;45;0.1349488511416283;-0.009702477082110725;-0.001013103813776304;-0.1290447058199458;1.315756921392965E-4;-0.003736672386234845
