ALPHA_H;BETA;D_AGAP;R_ST_OUT;BRMS/A
1.4;0.1;1.25;7.5;0.052024060233129624
1.6;0.1;1.25;7.5;0.05408528171542726
1.8;0.1;1.25;7.5;0.056731039676523314
2.0;0.1;1.25;7.5;0.059018068643784775
1.4;0.2;1.25;7.5;0.07684505996303212
1.6;0.2;1.25;7.5;0.08285081170299265
1.8;0.2;1.25;7.5;0.08798540110987291
2.0;0.2;1.25;7.5;0.09022779949696183
1.4;0.3;1.25;7.5;0.09254607199436293
1.6;0.3;1.25;7.5;0.10107643399534322
1.8;0.3;1.25;7.5;0.10388700219569887
2.0;0.3;1.25;7.5;0.11153294490878486
1.4;0.1;1.5;7.5;0.05208922071445133
1.6;0.1;1.5;7.5;0.054119761633931465
1.8;0.1;1.5;7.5;0.0555317987814871
2.0;0.1;1.5;7.5;0.05762345881613441
1.4;0.2;1.5;7.5;0.07641769917954705
1.6;0.2;1.5;7.5;0.0808073400943242
1.8;0.2;1.5;7.5;0.08570528667358421
2.0;0.2;1.5;7.5;0.0897566618291718
1.4;0.3;1.5;7.5;0.09122120901793668
1.6;0.3;1.5;7.5;0.09787338890611658
1.8;0.3;1.5;7.5;0.10394291036016276
2.0;0.3;1.5;7.5;0.10773534697970782
1.4;0.1;1.75;7.5;0.053887058005006414
1.6;0.1;1.75;7.5;0.05406375599262556
1.8;0.1;1.75;7.5;0.0554753629329807
2.0;0.1;1.75;7.5;0.056688627442846515
1.4;0.2;1.75;7.5;0.07722937072023413
1.6;0.2;1.75;7.5;0.08143222171165872
1.8;0.2;1.75;7.5;0.08472346692267967
2.0;0.2;1.75;7.5;0.08774274559289512
1.4;0.3;1.75;7.5;0.09063831011114797
1.6;0.3;1.75;7.5;0.09787426069359072
1.8;0.3;1.75;7.5;0.10182249266658067
2.0;0.3;1.75;7.5;0.10596812814157566
1.4;0.1;2.0;7.5;0.05404032144822371
1.6;0.1;2.0;7.5;0.05478659665143125
1.8;0.1;2.0;7.5;0.05647692265730963
2.0;0.1;2.0;7.5;0.05831372831220531
1.4;0.2;2.0;7.5;0.07769470349995725
1.6;0.2;2.0;7.5;0.08203881996197798
1.8;0.2;2.0;7.5;0.086074938106661
2.0;0.2;2.0;7.5;0.08837370053220749
1.4;0.3;2.0;7.5;0.09375513225494654
1.6;0.3;2.0;7.5;0.09896724017310517
1.8;0.3;2.0;7.5;0.10419707075577245
2.0;0.3;2.0;7.5;0.10824619525122407
