 ALPHA_H ; BETA ; D_AGAP ; R_ROT_OUT ; TX_ROT ; TX_ST ; TY_ROT ; TY_ST ; TZ_ROT ; TZ_ST ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2215412513334454E-03 ;    0.3177292990979799E-03 ;    0.2577059338505244E-03 ;    0.4448573159218832E-05 ;    0.2196908951912354E-04 ;    0.1601517800077927E-05 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1654867574098557E-03 ;    0.3398506659057645E-03 ;   -0.3305665651825181E-03 ;   -0.5955398080848307E-05 ;   -0.4466518116225458E-04 ;   -0.5743272439986102E-05 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2651267526765667E-03 ;    0.3423083782478558E-03 ;    0.1187078350745626E-03 ;   -0.7009769852154944E-05 ;   -0.1001808721105323E-04 ;   -0.1972595088385761E-04 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1494340058185758E-03 ;    0.3518074657896823E-03 ;   -0.6214252129943702E-04 ;   -0.6232349709739581E-05 ;   -0.6156326848116809E-04 ;   -0.2115581174364241E-05 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2675471334150669E-04 ;    0.4461292970654163E-03 ;    0.9869319291481979E-04 ;    0.3555309674800305E-05 ;    0.1594967114264664E-04 ;    0.1657494901064661E-04 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2103313360629734E-03 ;    0.5344312366821739E-03 ;    0.1924538414347580E-03 ;    0.1415743488092475E-04 ;   -0.4955438573838967E-04 ;   -0.6872647480668146E-06 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;   -0.4604531054891748E-03 ;    0.6268339029155788E-03 ;    0.2941463087994831E-04 ;    0.3224233734157378E-06 ;   -0.5924435388900649E-05 ;    0.3784102479030593E-05 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;   -0.4679892502438823E-03 ;    0.6627581921174671E-03 ;   -0.9041126920102422E-05 ;   -0.7642837359580769E-06 ;   -0.9394676476873845E-05 ;   -0.5314640021723672E-05 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1391506321029489E-03 ;    0.2329148318031481E-03 ;    0.2820360091103983E-03 ;   -0.2353672295763867E-04 ;    0.6505060319153457E-04 ;    0.3387061437143003E-05 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;   -0.4317651191068805E-03 ;    0.4753087761707169E-03 ;   -0.3587012770527308E-04 ;    0.4572231210570206E-05 ;    0.9947274893623365E-05 ;   -0.3614615347991077E-05 ;
