ALPHA_H;BETA;D_AGAP;R_ST_OUT;DZ;F_ROT_X;F_ROT_Y;F_ROT_Z;F_ST_X;F_ST_Y;F_ST_Z
1.4;0.1;1.5;7.5;0.5;0.01338784631672448;-0.02157710504349489;-0.02392694130879075;-0.002224022448502007;0.002781744293114416;0.1148418212754606
1.6;0.1;1.5;7.5;0.5;-0.005044924065200728;-0.01065892859128436;0.02916990063617956;-0.003755661498495415;0.004552012657342887;0.1284605363610773
1.8;0.1;1.5;7.5;0.5;0.01094711381991719;-0.04921837236995486;0.03924284919181976;-0.003889661952328843;-0.004044841116389448;0.1235320081872345
2.0;0.1;1.5;7.5;0.5;0.02857578394140725;-0.03304660761736845;0.00424013814845526;0.00306446059639309;-0.00121516233025411;0.1104939092420412
1.4;0.2;1.5;7.5;0.5;0.006312077257565216;0.003969537991667885;-0.2223971591888425;-8.97471429214981E-4;-0.001881548878948699;0.2557270766333918
1.6;0.2;1.5;7.5;0.5;0.01078463136948709;0.003655401762421617;-0.2561241508515018;-3.943860544764656E-4;-0.003829666777643541;0.2662586934235889
1.8;0.2;1.5;7.5;0.5;0.00959914368207958;-0.002951381919401307;-0.2784418009621434;3.29727899358508E-4;-0.001085518839068644;0.2640531995479045
2.0;0.2;1.5;7.5;0.5;0.004587663550357527;0.001758380431731881;-0.2667645736660025;6.471550101313246E-4;0.003691836295259869;0.2777789260581688
1.4;0.3;1.5;7.5;0.5;-0.007935415298381533;-0.01195197679561436;-0.3129526606503953;-0.001392370285485891;-9.618641175805111E-4;0.3182737935406825
1.6;0.3;1.5;7.5;0.5;0.006447691021817154;-0.01357288904603214;-0.3108366799877498;-0.004718747492212665;-0.003702147387078043;0.3385413395585002
1.8;0.3;1.5;7.5;0.5;0.002521217595214606;-0.003450767583429005;-0.3547970288438979;0.007310462933427594;0.005055669148196641;0.3326596559682653
2.0;0.3;1.5;7.5;0.5;0.001455752713037852;-0.002553629246538487;-0.3343428850731606;0.00172398438543297;2.936756975397761E-4;0.332727729342132
1.4;0.4;1.5;7.5;0.5;0.008402045527840556;-0.00113472324048322;-0.3339789349399606;-0.002400168813915401;0.00273511733371643;0.3499802219325429
1.6;0.4;1.5;7.5;0.5;-0.007964495433695592;0.009407850114882951;-0.3400954243134692;0.004219513626506306;-0.00177397966562264;0.3555000463628003
1.8;0.4;1.5;7.5;0.5;9.701241360666321E-4;-0.002348124925497413;-0.3354762784248644;0.004818015968275574;-0.003226155205056166;0.3401544214452237
2.0;0.4;1.5;7.5;0.5;0.01009790651543025;-0.01052000324738777;-0.3181321569943713;7.790999715607781E-4;3.348501844650763E-4;0.3308287856226819
1.4;0.5;1.5;7.5;0.5;0.02435948260711128;-6.628204799081199E-4;-0.3524999958203162;2.424810799498273E-4;-0.006968622742434753;0.3490430299553793
1.6;0.5;1.5;7.5;0.5;0.005865045594285462;-0.001281874868159344;-0.3434530232131876;8.072933120153256E-4;-0.002456883625307678;0.3419032294804344
1.8;0.5;1.5;7.5;0.5;-0.007813331595090109;-0.01885958520419564;-0.3399596135839716;-0.004947195943956258;-0.002366010829028105;0.3127881393376472
2.0;0.5;1.5;7.5;0.5;-0.003513781548630071;-5.65273634322416E-4;-0.3087385760588023;-9.147967384662784E-4;-1.285426388116361E-4;0.2960992424351642
