 ALPHA_H ; BETA ; D_AGAP ; R_ROT_OUT ; TX_ROT ; TX_ST ; TY_ROT ; TY_ST ; TZ_ROT ; TZ_ST ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.2962343339396039E-03 ;    0.1442002506126113E-03 ;   -0.3111781152317841E-03 ;   -0.9007864458342135E-05 ;   -0.2040266666543376E-04 ;   -0.4095923689719339E-05 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2346468010562448E-04 ;    0.1298941268752071E-03 ;   -0.3906539766329630E-03 ;   -0.2009681681301151E-04 ;   -0.3064249666342619E-04 ;   -0.4067618329501741E-05 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.3133637776356634E-03 ;    0.1581169107871297E-03 ;   -0.6235978953654372E-04 ;   -0.3096642133404541E-04 ;    0.1681110842435526E-04 ;   -0.7499817303233422E-05 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.2320422382505936E-03 ;    0.1525021695122444E-03 ;   -0.1095149631378917E-04 ;   -0.1411212450345738E-04 ;   -0.2244391655369504E-04 ;   -0.1135728530288502E-04 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1504474323028524E-03 ;    0.1876499359850051E-03 ;   -0.1467119241424503E-04 ;    0.5406388625323288E-05 ;    0.2125158452362485E-05 ;   -0.2159445767781073E-05 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1985382711982304E-03 ;    0.2580924026121176E-03 ;   -0.1250150442645613E-03 ;   -0.9461949707871056E-05 ;   -0.2129946292012908E-06 ;    0.6590759398850552E-05 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1446614005655667E-03 ;    0.3033258963311260E-03 ;    0.6871066492142327E-04 ;   -0.9086796250130730E-05 ;    0.6178186708915328E-05 ;    0.1450432595808680E-04 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2498249540787407E-03 ;    0.3422552832221726E-03 ;   -0.1976937141029144E-04 ;   -0.1087878508720203E-04 ;   -0.1340061583883031E-04 ;   -0.2823001165828444E-05 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2324633154729003E-04 ;    0.2578952240006849E-04 ;    0.1032728380021842E-03 ;    0.5393693772337300E-05 ;    0.9875508515825949E-05 ;    0.2335542917258480E-04 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1093300767473911E-03 ;    0.1580621652594077E-03 ;   -0.4612175758638333E-04 ;   -0.5272812468816768E-05 ;    0.9774883167882344E-05 ;   -0.1506626615766562E-05 ;
