 ALPHA_H ; BETA ; D_AGAP ; R_ROT_OUT ; JT_RMS ; R_ROT_OUT ; V_FE_ST ; V_FE_ROT ; V_PM ; V_COIL ; IT_HAT ; P_CU_TOT ; A_CU ; TZ_ROT ; TZ_ST ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.1759691922664862E+03 ;    0.4480185316277272E+03 ;    0.4800998003947478E+02 ;    0.4073816276950977E+02 ;    0.5881560519726066E+01 ;    0.2737604538111058E-01 ;    0.4158891327457376E+00 ;    0.5622101695543576E-04 ;   -0.2878695298999843E-04 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.1539730432331754E+03 ;    0.4480185316277272E+03 ;    0.4800998003947478E+02 ;    0.3906717964687065E+02 ;    0.5881560519726066E+01 ;    0.2625314472269708E-01 ;    0.4158891327457376E+00 ;    0.2642746403214151E-04 ;   -0.3761594749650594E-04 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.1368649273183781E+03 ;    0.4480185316277272E+03 ;    0.4800998003947478E+02 ;    0.3776752610704021E+02 ;    0.5881560519726066E+01 ;    0.2537977754393104E-01 ;    0.4158891327457376E+00 ;    0.5545443542791560E-04 ;   -0.2836193401633650E-04 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.1231784345865403E+03 ;    0.4480185316277272E+03 ;    0.4800998003947478E+02 ;    0.3672780327517587E+02 ;    0.5881560519726066E+01 ;    0.2468108380091820E-01 ;    0.4158891327457376E+00 ;    0.3362412067379136E-04 ;   -0.3080620641436605E-04 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.3519383845329724E+03 ;    0.8960370632554544E+03 ;    0.9601996007894957E+02 ;    0.5410602775062277E+02 ;    0.5881560519726066E+01 ;    0.3635925064841852E-01 ;    0.4158891327457376E+00 ;    0.1007725089790818E-03 ;   -0.7215689375754019E-04 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.3079460864663508E+03 ;    0.8960370632554544E+03 ;    0.9601996007894957E+02 ;    0.5076406150534452E+02 ;    0.5881560519726066E+01 ;    0.3411344933159152E-01 ;    0.4158891327457376E+00 ;    0.1087218546000844E-03 ;   -0.6356118421486984E-04 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.2737298546367563E+03 ;    0.8960370632554544E+03 ;    0.9601996007894957E+02 ;    0.4816475442568366E+02 ;    0.5881560519726066E+01 ;    0.3236671497405942E-01 ;    0.4158891327457376E+00 ;    0.9034107105575303E-04 ;   -0.6354942271494708E-04 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.2463568691730806E+03 ;    0.8960370632554544E+03 ;    0.9601996007894957E+02 ;    0.4608530876195496E+02 ;    0.5881560519726066E+01 ;    0.3096932748803375E-01 ;    0.4158891327457376E+00 ;    0.7253823853620295E-04 ;   -0.5986966350377698E-04 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.5279075767994585E+03 ;    0.1344055594883182E+04 ;    0.1440299401184244E+03 ;    0.6747389273173577E+02 ;    0.5881560519726066E+01 ;    0.4534245591572645E-01 ;    0.4158891327457376E+00 ;    0.1589661038372177E-03 ;   -0.1047079621908935E-03 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.4619191296995263E+03 ;    0.1344055594883182E+04 ;    0.1440299401184244E+03 ;    0.6246094336381839E+02 ;    0.5881560519726066E+01 ;    0.4197375394048598E-01 ;    0.4158891327457376E+00 ;    0.2019180680524269E-03 ;   -0.1186927433707480E-03 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.4105947819551345E+03 ;    0.1344055594883182E+04 ;    0.1440299401184244E+03 ;    0.5856198274432711E+02 ;    0.5881560519726066E+01 ;    0.3935365240418783E-01 ;    0.4158891327457376E+00 ;    0.1277078442589076E-03 ;   -0.1105576669365885E-03 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.3695353037596210E+03 ;    0.1344055594883182E+04 ;    0.1440299401184244E+03 ;    0.5544281424873406E+02 ;    0.5881560519726066E+01 ;    0.3725757117514931E-01 ;    0.4158891327457376E+00 ;    0.1398104120572627E-03 ;   -0.9036606763378922E-04 ;
    0.1400000000000000E+01 ;    0.4000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.7038767690659447E+03 ;    0.1792074126510909E+04 ;    0.1920399201578991E+03 ;    0.8084175771284876E+02 ;    0.5881560519726066E+01 ;    0.5432566118303440E-01 ;    0.4158891327457376E+00 ;    0.2102225607445907E-03 ;   -0.1465744370372751E-03 ;
    0.1600000000000000E+01 ;    0.4000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.6158921729327017E+03 ;    0.1792074126510909E+04 ;    0.1920399201578991E+03 ;    0.7415782522229226E+02 ;    0.5881560519726066E+01 ;    0.4983405854938042E-01 ;    0.4158891327457376E+00 ;    0.2141014765357799E-03 ;   -0.1634147664866264E-03 ;
    0.1800000000000000E+01 ;    0.4000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.5474597092735125E+03 ;    0.1792074126510909E+04 ;    0.1920399201578991E+03 ;    0.6895921106297055E+02 ;    0.5881560519726066E+01 ;    0.4634058983431622E-01 ;    0.4158891327457376E+00 ;    0.1816953301743884E-03 ;   -0.1277074884937935E-03 ;
    0.2000000000000000E+01 ;    0.4000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.4927137383461612E+03 ;    0.1792074126510909E+04 ;    0.1920399201578991E+03 ;    0.6480031973551316E+02 ;    0.5881560519726066E+01 ;    0.4354581486226485E-01 ;    0.4158891327457376E+00 ;    0.1628003094211436E-03 ;   -0.1092322116346735E-03 ;
