ALPHA_H;BETA;D_AGAP;R_ST_OUT;JF_RMS;IF_HAT;A_CU;P_CU_TOT;F_ROT_X;F_ROT_Y;F_ROT_Z;F_ST_X;F_ST_Y;F_ST_Z
1.4;0.1;1.5;7.5;10;5.8815605197260705;0.4158891327457379;0.027376045381110593;-0.003740453992588102;-0.01741542941728329;-0.03516849092352611;0.004713402099521699;0.009166946881471603;-0.008871878775132012
1.6;0.1;1.5;7.5;10;5.8815605197260705;0.4158891327457379;0.026253144722697106;-0.004748983617900209;-0.02247309660489168;-0.03436635147847277;0.003083272435468267;0.01185216159246542;-6.500821309195649E-5
1.8;0.1;1.5;7.5;10;5.8815605197260705;0.4158891327457379;0.025379777543931052;-0.01313159493293818;-0.007977076142713108;-0.02100442501880402;0.006617737858194696;0.006038651174293773;9.369558401062673E-4
2.0;0.1;1.5;7.5;10;5.8815605197260705;0.4158891327457379;0.024681083800918217;-0.02419404782601424;-0.02283521831501813;0.02900309906280598;0.006235221475820595;0.009504638720339078;0.005871291096642515
1.4;0.2;1.5;7.5;10;5.8815605197260705;0.4158891327457379;0.03635925064841854;-0.00726614955334;-0.02255118650630248;-0.05620394296891376;0.01603867561355426;0.02275836271431644;-0.004427810266845466
1.6;0.2;1.5;7.5;10;5.8815605197260705;0.4158891327457379;0.03411344933159155;-0.008102760902608752;-0.007361728355934613;-0.001543501715880783;0.01597428730084977;0.01930073213098698;0.002233887273291461
1.8;0.2;1.5;7.5;10;5.8815605197260705;0.4158891327457379;0.03236671497405945;-0.002728230477087063;-0.007456805464855276;-0.01507004049708477;0.0140213670175918;0.02250002434782046;-0.00123918172163572
2.0;0.2;1.5;7.5;10;5.8815605197260705;0.4158891327457379;0.030969327488033778;-0.002821885299406777;-0.01690236084738407;0.01009223588743126;0.01120340888939967;0.01292658640844693;0.003725292656966632
1.4;0.3;1.5;7.5;10;5.8815605197260705;0.4158891327457379;0.04534245591572648;-0.03284929639488963;-0.01462529195388894;-0.001206227545263098;0.01956905746561541;0.02760278302660974;-0.002409838153624711
1.6;0.3;1.5;7.5;10;5.8815605197260705;0.4158891327457379;0.041973753940486;-0.02225454563450301;-0.02439280656530724;-0.05367225291763317;0.02023385407225903;0.0310968810233148;-0.007190560483252001
1.8;0.3;1.5;7.5;10;5.8815605197260705;0.4158891327457379;0.03935365240418785;-0.0201062589220198;-0.01739902886347776;-0.01454950823129943;0.01607136487231115;0.02557321078855172;-0.001084131026351769
2.0;0.3;1.5;7.5;10;5.8815605197260705;0.4158891327457379;0.03725757117514933;-0.0265908286213758;-0.02425177038451539;0.02171149593189201;0.02014266885477392;0.02504240320063652;0.002324090610725017
1.4;0.4;1.5;7.5;10;5.8815605197260705;0.4158891327457379;0.054325661183034425;-0.02530608126471536;-0.03486929436882179;-0.001793535584449032;0.03361744564672412;0.04197624586195203;-0.001149797623892722
1.6;0.4;1.5;7.5;10;5.8815605197260705;0.4158891327457379;0.049834058549380444;-0.03052342218402148;-0.02330892107688156;0.0101579398282976;0.0349595684665549;0.03297695778487073;0.002992339789620644
1.8;0.4;1.5;7.5;10;5.8815605197260705;0.4158891327457379;0.04634058983431625;-0.02584488275304843;-0.0276177210097977;0.02356643329704167;0.01960037855014491;0.03871563930152551;0.002630236699614676
2.0;0.4;1.5;7.5;10;5.8815605197260705;0.4158891327457379;0.04354581486226489;-0.02121568601297902;-0.03773170518731153;-0.003246458261095397;0.02669135097386577;0.02575397141100896;-0.006063750486597196
1.4;0.5;1.5;7.5;10;5.8815605197260705;0.4158891327457379;0.06330886645034238;-0.009538036088644002;-0.05144024240475562;-0.00775322424025193;0.02836307719053611;0.05085570443703102;0.001278471442095655
1.6;0.5;1.5;7.5;10;5.8815605197260705;0.4158891327457379;0.057694363158274885;-0.03518004703795107;-0.03892812342508269;-0.01256198964044002;0.03926297168996327;0.04290666486576775;9.055165902528053E-4
1.8;0.5;1.5;7.5;10;5.8815605197260705;0.4158891327457379;0.05332752726444464;-0.03163560296493243;-0.04864745754481967;0.008542106826537409;0.02588364654917068;0.04012160279695238;-0.004477000538112468
2.0;0.5;1.5;7.5;10;5.8815605197260705;0.4158891327457379;0.049834058549380444;-0.03502218782239766;-0.02101214194024566;0.004370344155539527;0.03211879537369415;0.03738039762944227;-0.00111888701176904
1.4;0.1;2.0;7.5;10;3.297974496841886;0.23320201308971897;0.014889048607891838;0.007243131163047601;-0.04075542953637103;0.08581975764719572;1.705975393687595E-4;0.00634732462293672;0.003206978101515819
1.6;0.1;2.0;7.5;10;3.297974496841886;0.23320201308971897;0.014259403172549598;0.01040264152210737;-0.04125076093877243;0.01695593961046171;8.406947679959264E-4;0.006616851559076947;0.003934975444474044
1.8;0.1;2.0;7.5;10;3.297974496841886;0.23320201308971897;0.013769678945061184;0.007542383706326844;-0.03271870183368927;0.03392013845151389;0.002105855872540885;0.006818350976617909;0.002432094406553102
2.0;0.1;2.0;7.5;10;3.297974496841886;0.23320201308971897;0.013377899563070462;0.01464955597476467;-0.02119621695194414;-0.05960393468735217;0.002319911416466761;0.004392555004558785;-0.001775453227528182
1.4;0.2;2.0;7.5;10;3.297974496841886;0.23320201308971897;0.01992621209062977;0.00858784519093583;-0.002248133468024476;0.0149567962051304;0.004299001851910592;0.007081236643840478;1.691756589152203E-4
1.6;0.2;2.0;7.5;10;3.297974496841886;0.23320201308971897;0.018666921219945287;0.001137180666230935;9.251207380245011E-4;0.004007460880270953;0.006912114201361368;0.006872136973728561;-0.001001040486691456
1.8;0.2;2.0;7.5;10;3.297974496841886;0.23320201308971897;0.017687472764968466;-0.002205301892350411;-0.002481411505917113;0.002298292464361076;0.00544988917803251;0.004805130258509128;-7.112535839315098E-4
2.0;0.2;2.0;7.5;10;3.297974496841886;0.23320201308971897;0.01690391400098701;0.00670404779660082;-1.120499773511355E-4;-0.01524367278968835;0.002002064758131425;0.005017145951001348;0.003526832667367421
1.4;0.3;2.0;7.5;10;3.297974496841886;0.23320201308971897;0.024963375573367693;3.761248603284962E-4;-0.01596026420253782;-0.02717881888753451;0.006447963841918663;0.01675142377796677;-0.001666043749236534
1.6;0.3;2.0;7.5;10;3.297974496841886;0.23320201308971897;0.02307443926734097;-0.01218637342953924;-0.01560065584169428;0.002791039454474001;0.01429949316137719;0.008755606697899638;0.002277396820138026
1.8;0.3;2.0;7.5;10;3.297974496841886;0.23320201308971897;0.021605266584875746;-0.01124815450860429;-0.01846068229727388;0.005545641946957053;0.01078893418601266;0.01026428520331213;0.002330243989822366
2.0;0.3;2.0;7.5;10;3.297974496841886;0.23320201308971897;0.020429928438903563;-0.01337090127452532;-0.01449671777535336;0.02648375349965229;0.005718879137861305;0.009781657659522758;-9.269733935938444E-4
1.4;0.4;2.0;7.5;10;3.297974496841886;0.23320201308971897;0.03000053905610563;-0.009150528375981036;-0.02311240318004003;-0.01517744502357311;0.005937577789528322;0.01961509945686739;-0.001287578782693668
1.6;0.4;2.0;7.5;10;3.297974496841886;0.23320201308971897;0.02748195731473666;-0.006871808082001947;-0.01381019198855167;-0.001552070285585993;0.01053069370247827;0.01332280160033932;0.003627128838548
1.8;0.4;2.0;7.5;10;3.297974496841886;0.23320201308971897;0.02552306040478302;-0.01281009694502323;-0.02264185180551087;0.01046714662687939;0.0113206468012607;0.01345440010743692;-7.677672093000213E-4
2.0;0.4;2.0;7.5;10;3.297974496841886;0.23320201308971897;0.023955942876820107;-0.01385568333732817;-0.009607131502088744;0.005526537043430303;0.009493036362359587;0.01337345242292604;-9.15754631277084E-4
1.4;0.5;2.0;7.5;10;3.297974496841886;0.23320201308971897;0.03503770253884356;-0.02782167333603288;-0.002919945496092216;0.01460193337116151;0.02097367876258565;0.01914781336962191;0.002243966652166795
1.6;0.5;2.0;7.5;10;3.297974496841886;0.23320201308971897;0.031889475362132345;-0.02613759142031939;-0.01063930200130052;-0.01141599016068516;0.01715425225036817;0.01794846063871742;7.913769529142246E-4
1.8;0.5;2.0;7.5;10;3.297974496841886;0.23320201308971897;0.029440854224690297;-0.01906709691629239;-0.0117269898275639;-0.01185917133206908;0.01273017335065167;0.02067293257554587;-9.227124841529299E-4
2.0;0.5;2.0;7.5;10;3.297974496841886;0.23320201308971897;0.02748195731473666;-0.01385951985764466;-0.009068881728045592;0.03555207835168266;0.01275784387728944;0.01489280996019118;-0.001524769421219428
1.4;0.1;2.5;7.5;10;1.4548689636507697;0.1028747709935304;0.006364547039994546;-0.004577419101511138;-0.007384476513915723;-0.03576017088721104;0.001441234835976662;0.002225167625746296;-0.002619567572038217
1.6;0.1;2.5;7.5;10;1.4548689636507697;0.1028747709935304;0.006086785158312014;-0.005485051147256629;-0.01818242453311491;-0.08407274096971715;7.920552493690764E-4;0.003628514716376508;-0.002971872556495075
1.8;0.1;2.5;7.5;10;1.4548689636507697;0.1028747709935304;0.005870748139225599;-0.003630148583120518;-0.02972107068072796;0.0686444169045564;5.461794517050534E-4;0.00290960184728976;8.234387624201608E-4
2.0;0.1;2.5;7.5;10;1.4548689636507697;0.1028747709935304;0.005697918523956468;-0.003699314721780386;-0.02833974172556003;-0.08040054005103689;2.007911981108719E-4;0.006913479584448762;-0.002114581672460623
1.4;0.2;2.5;7.5;10;1.4548689636507697;0.1028747709935304;0.008586642093454803;-0.001854335517984231;-8.377328582045897E-4;-0.006156596177519725;0.00325012345585705;0.003456081887843919;-0.002387206642397349
1.6;0.2;2.5;7.5;10;1.4548689636507697;0.1028747709935304;0.008031118330089739;0.01175638371480733;-0.005439718600613193;-0.01891781577427108;0.001241862028555995;0.003019474365401134;-0.002041964931319584
1.8;0.2;2.5;7.5;10;1.4548689636507697;0.1028747709935304;0.00759904429191691;0.005747567627064706;0.007267044226180333;-0.03069065789119799;0.004513504875161917;0.002437449167892961;0.003427926359098845
2.0;0.2;2.5;7.5;10;1.4548689636507697;0.1028747709935304;0.007253385061378648;0.004651971026293581;0.002230177575550259;-0.01683391724188742;-2.22330722640017E-4;0.001981101683739561;3.36494580339614E-4
1.4;0.3;2.5;7.5;10;1.4548689636507697;0.1028747709935304;0.01080873714691506;-0.003837898279622198;-0.007826990484665756;-0.0012125650494475;0.004454893471016276;0.005393769694959714;0.001092992672226155
1.6;0.3;2.5;7.5;10;1.4548689636507697;0.1028747709935304;0.009975451501867462;-0.004443315741985943;-0.003240480187844367;-0.01077574312521747;0.002964469247826881;0.005559816264757778;-0.001504102210463194
1.8;0.3;2.5;7.5;10;1.4548689636507697;0.1028747709935304;0.009327340444608222;-0.01334056993336317;-0.01388209092685589;0.003344688953986573;0.004211303249781987;0.00886996945377888;0.00379059582200691
2.0;0.3;2.5;7.5;10;1.4548689636507697;0.1028747709935304;0.00880885159880083;-0.006044880744984278;0.009680262346530197;-0.01875237376839596;0.005697916056405447;0.004378480746636178;0.001210432733353231
1.4;0.4;2.5;7.5;10;1.4548689636507697;0.1028747709935304;0.01303083220037532;0.005342708370831131;-0.001191738968547524;0.001696377569892931;0.005936448262571876;0.007667466263885087;-0.001506998410263997
1.6;0.4;2.5;7.5;10;1.4548689636507697;0.1028747709935304;0.011919784673645191;-0.005712300900211283;0.01380404939501576;-0.02241605605373818;0.003071603633235406;0.006096291521226443;-0.001753637675711547
1.8;0.4;2.5;7.5;10;1.4548689636507697;0.1028747709935304;0.011055636597299532;0.006697176811507822;-0.008153808091260277;-0.03095893256508219;0.005291692175108186;0.003820191179667904;-0.00572186525127073
2.0;0.4;2.5;7.5;10;1.4548689636507697;0.1028747709935304;0.010364318136223008;0.01068391647166211;-0.01468978238686628;-0.02160621790389406;-0.001475952671227931;0.002571186922969789;-0.001053753442726868
1.4;0.5;2.5;7.5;10;1.4548689636507697;0.1028747709935304;0.015252927253835579;-2.642602794459218E-4;2.57237607829355E-4;0.003191131681224245;0.003892818772673029;0.006596421453296767;-0.001646032214279068
1.6;0.5;2.5;7.5;10;1.4548689636507697;0.1028747709935304;0.013864117845422914;-0.006027994960189726;0.004183816524512891;-0.004819418118908663;0.004237037777916956;0.008800692311794357;-0.001891913953295597
1.8;0.5;2.5;7.5;10;1.4548689636507697;0.1028747709935304;0.012783932749990845;-0.01747325656748565;0.002403074455354828;-0.01495648157141862;0.003225002017966863;0.008960947440895163;3.254468081722193E-4
2.0;0.5;2.5;7.5;10;1.4548689636507697;0.1028747709935304;0.011919784673645191;0.01280146798851676;-0.008707785242850145;0.005928475848117993;0.003989318720349312;0.008682666476843784;0.001335972870224684
1.4;0.1;3.0;7.5;10;0.3522439201527112;0.024907406457171488;0.0014916481387843498;0.01689227176136578;-0.007980552349958411;-0.0260585236101758;2.610108108453424E-4;5.753267870755754E-4;-6.266248128915582E-4
1.6;0.1;3.0;7.5;10;0.3522439201527112;0.024907406457171488;0.0014243981413499872;0.02307707930524345;-0.0413280573852657;-0.0094865096694541;-2.424961555425803E-4;0.001645816711336547;-0.002362165049640398
1.8;0.1;3.0;7.5;10;0.3522439201527112;0.024907406457171488;0.0013720925877899269;0.001321995775756365;-0.01774304969792611;0.0465343834696954;2.989488593952615E-4;0.001331054520373331;7.754795029440265E-6
2.0;0.1;3.0;7.5;10;0.3522439201527112;0.024907406457171488;0.0013302481449418788;-0.007216548921619484;0.005206469940297838;0.03655915123990901;7.527787854934483E-4;-2.66346297272205E-4;-5.836439918827231E-4
1.4;0.2;3.0;7.5;10;0.3522439201527112;0.024907406457171488;0.0020296481182592546;0.01135341437242544;0.006855588950304942;-0.03756408919625601;1.358665621821692E-4;5.314176343272144E-4;-9.907424872025708E-5
1.6;0.2;3.0;7.5;10;0.3522439201527112;0.024907406457171488;0.0018951481233905284;0.009497707619524365;0.003866108008345779;-0.004392646222519934;7.401239257526582E-4;8.389100730443076E-4;1.385823841933288E-4
1.8;0.2;3.0;7.5;10;0.3522439201527112;0.024907406457171488;0.0017905370162704084;0.005254660796597335;6.737775799159787E-4;-0.005312400865768435;-7.593211135308688E-4;4.157527747838756E-4;9.12881086152956E-4
2.0;0.2;3.0;7.5;10;0.3522439201527112;0.024907406457171488;0.001706848130574312;0.003356488827706501;0.005028751449516805;-0.0264845440282834;-1.645078401967594E-4;5.727015152616604E-4;7.482148075101151E-4
1.4;0.3;3.0;7.5;10;0.3522439201527112;0.024907406457171488;0.0025676480977341585;-0.006658320477382592;0.01119388476818271;0.001405552043742267;6.280212745359367E-4;9.120514849631737E-5;-0.002726259136333614
